고객ID,feature
200177641,"[0.820976167281922, 0.0, 0.0, 0.021492950145057216, 0.11939919141040722, 0.0, 0.0, 0.03813169116261344]"
200178040,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200179974,"[0.2882822994690383, 0.0, 0.0, 0.0285184646106463, 0.6504695597215995, 0.0, 0.0, 0.03272967619871591]"
200180558,"[0.0, 0.0, 0.0, 0.26801601618615883, 0.6228118284848633, 0.0, 0.0, 0.10917215532897794]"
200180563,"[0.0, 0.0, 0.7166531690214968, 0.054459702135853015, 0.16131060542861478, 0.0, 0.0, 0.06757652341403549]"
200180917,"[0.32224404461380535, 0.0, 0.0, 0.2114763224851478, 0.3039716882447202, 0.0, 0.06177429184746117, 0.10053365280886536]"
200181694,"[0.0, 0.0, 0.0, 0.15658061372708354, 0.0, 0.0, 0.8434193862729165, 0.0]"
200181726,"[0.167085290698226, 0.1952101709760331, 0.0, 0.31487750239294515, 0.0, 0.0, 0.13070578413993347, 0.1921212517928623]"
200182803,"[0.0, 0.0, 0.0, 0.11799141020489992, 0.51532056508277, 0.0, 0.1838206041767182, 0.18286742053561195]"
200183569,"[0.0, 0.0, 0.0, 0.17753063813254613, 0.0, 0.0, 0.8224693618674539, 0.0]"
200184984,"[0.0, 0.0, 0.0, 0.1825570864755017, 0.0, 0.0, 0.0, 0.8174429135244983]"
200185896,"[0.0, 0.22278494451496994, 0.0, 0.008409024887254177, 0.1993354245633577, 0.5280384703218614, 0.0, 0.041432135712556724]"
200188742,"[0.678474566639247, 0.0, 0.0, 0.13832224336229748, 0.0, 0.0, 0.0, 0.18320318999845542]"
200189565,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200191511,"[0.08279676174699696, 0.3294724783914004, 0.0, 0.07776471459335843, 0.3944959614797633, 0.0, 0.06151963513068774, 0.053950448657793144]"
200192523,"[0.0, 0.0, 0.0, 0.4982226741496651, 0.0, 0.0, 0.0, 0.5017773258503349]"
200192658,"[0.0, 0.0, 0.0, 0.4692486079337625, 0.0, 0.0, 0.0, 0.5307513920662374]"
200192698,"[0.23414908306056328, 0.0, 0.0, 0.2891655205084271, 0.21942018564189453, 0.0, 0.17349200240565466, 0.0837732083834604]"
200193612,"[0.0, 0.0, 0.0, 0.2441514613654323, 0.0, 0.0, 0.0, 0.7558485386345677]"
200195334,"[0.0, 0.0, 0.0, 0.3958235268781981, 0.0, 0.0, 0.4110541065363074, 0.19312236658549445]"
200195500,"[0.0, 0.0, 0.0, 0.23001860461181056, 0.0, 0.0, 0.7699813953881893, 0.0]"
200196879,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
200199571,"[0.0, 0.7564301211282941, 0.0, 0.08716594443977235, 0.0, 0.0, 0.0, 0.15640393443193346]"
200199577,"[0.0, 0.0, 0.0, 0.10832107306500688, 0.0, 0.0, 0.372745688375488, 0.518933238559505]"
200200754,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200201860,"[0.6346138574081245, 0.0, 0.0, 0.17057628617057177, 0.0, 0.0, 0.08378548031622313, 0.11102437610508063]"
200201979,"[0.0, 0.0, 0.0, 0.11292492234713915, 0.0, 0.0, 0.6448265200811253, 0.2422485575717356]"
200205623,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200206215,"[0.0, 0.0, 0.0, 0.0853817520189973, 0.5522801535555284, 0.0, 0.3023439765248074, 0.05999411790066685]"
200206817,"[0.0, 0.0, 0.0, 0.15658061372708354, 0.0, 0.0, 0.8434193862729165, 0.0]"
200207019,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200207088,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200207377,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200207565,"[0.8731884062295949, 0.0, 0.0, 0.1268115937704051, 0.0, 0.0, 0.0, 0.0]"
200208051,"[0.0, 0.0, 0.0, 0.8026359414524131, 0.0, 0.0, 0.0, 0.1973640585475869]"
200208272,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200209209,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
200209395,"[0.0, 0.0, 0.0, 0.23827133529701158, 0.0, 0.0, 0.6819561560025567, 0.07977250870043186]"
200209751,"[0.0, 0.4565834045907159, 0.0, 0.09408126918766291, 0.2150436016456654, 0.0, 0.04098774617064991, 0.19330397840530592]"
200210021,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200210444,"[0.0, 0.0, 0.0, 0.5930907696079073, 0.0, 0.0, 0.0, 0.40690923039209265]"
200212517,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
